nativePermissions	owner	group	size	lastModified	path	type						
-----------------	------	------	---------	--------------------	-----------------------------------------------------------------------------------------	----					forward	reverse
rw-r--r--	816290	803419	62025255	2025-05-16T03:20:17Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4621_S26_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4621_S26_R2_001.fastq.gz	4728_S36_L001_R1_001.fastq.gz	4728_S36_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	133824609	2025-05-15T23:37:42Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4625_S21_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4625_S21_L001_R1_001.fastq.gz	4732_S27_L001_R1_001.fastq.gz	4732_S27_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	149774807	2025-05-15T23:37:59Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4625_S21_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4625_S21_L001_R2_001.fastq.gz	4736_S23_L001_R1_001.fastq.gz	4736_S23_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	86810786	2025-04-03T18:58:52Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4632_S3_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4632_S3_L001_R1_001.fastq.gz	4739_S41_R1_001.fastq.gz	4739_S41_R2_001.fastq.gz
rw-r--r--	816290	803419	94199680	2025-04-03T18:58:59Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4632_S3_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4632_S3_L001_R2_001.fastq.gz	4741_S7_L001_R1_001.fastq.gz	4741_S7_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	116602800	2025-04-03T18:59:09Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4633_S17_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4633_S17_L001_R1_001.fastq.gz	4744_S28_L001_R1_001.fastq.gz	4744_S28_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	123477491	2025-04-03T18:59:21Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4633_S17_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4633_S17_L001_R2_001.fastq.gz	4750_S24_L001_R1_001.fastq.gz	4750_S24_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	126305461	2025-04-03T18:59:32Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4638_S35_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4638_S35_L001_R1_001.fastq.gz	4751_S25_L001_R1_001.fastq.gz	4751_S25_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	132292561	2025-04-03T18:59:44Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4638_S35_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4638_S35_L001_R2_001.fastq.gz	4756_S19_L001_R1_001.fastq.gz	4756_S19_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	107966591	2025-04-03T18:59:55Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4644_S36_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4644_S36_L001_R1_001.fastq.gz	4758_S29_L001_R1_001.fastq.gz	4758_S29_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	117636436	2025-04-03T19:00:06Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4644_S36_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4644_S36_L001_R2_001.fastq.gz	4761_S27_R1_001.fastq.gz	4761_S27_R2_001.fastq.gz
rw-r--r--	816290	803419	62759433	2025-05-16T03:20:30Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4649_S39_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4649_S39_R1_001.fastq.gz	4764_S8_L001_R1_001.fastq.gz	4764_S8_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	61795674	2025-05-16T03:20:43Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4649_S39_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4649_S39_R2_001.fastq.gz	4786_S6_L001_R1_001.fastq.gz	4786_S6_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	81949247	2025-04-03T19:00:13Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4653_S37_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4653_S37_L001_R1_001.fastq.gz	4802_S12_L001_R1_001.fastq.gz	4802_S12_L001_R2_001.fastq.gz
