repertoire_id	level	mode	productive	combo	v_level	j_level	sequence_count	duplicate_count	sequence_frequency	duplicate_frequency
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-49*04|IGHJ4*02	IGHV3-49*04	IGHJ4*02	5	5	0.0005150391429748661	0.0002999760019198464
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-59*01|IGHJ4*02	IGHV4-59*01	IGHJ4*02	291	538	0.029975278121137205	0.032277417806575476
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-59*08|IGHJ4*02	IGHV4-59*08	IGHJ4*02	103	197	0.010609806345282241	0.011819054475641948
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-59*08|IGHJ4*03	IGHV4-59*08	IGHJ4*03	1	1	0.00010300782859497322	5.999520038396928e-05
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-59*01|IGHJ5*02	IGHV4-59*01	IGHJ5*02	137	268	0.01411207251751133	0.016078713702903768
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-59*05|IGHJ4*02	IGHV4-59*05	IGHJ4*02	4	5	0.00041203131437989287	0.0002999760019198464
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-59*04|IGHJ4*02	IGHV4-59*04	IGHJ4*02	3	3	0.00030902348578491963	0.00017998560115190784
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-3*01|IGHJ4*02	IGHV1-3*01	IGHJ4*02	138	267	0.014215080346106305	0.016018718502519798
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-18*04|IGHJ4*02	IGHV1-18*04	IGHJ4*02	237	482	0.024412855377008654	0.028917686585073193
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-18*01|IGHJ4*02	IGHV1-18*01	IGHJ4*02	38	61	0.003914297486608982	0.003659707223422126
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV2-5*01|IGHJ4*02	IGHV2-5*01	IGHJ4*02	35	98	0.0036052740008240625	0.00587952963762899
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-43*01|IGHJ4*02	IGHV3-43*01	IGHJ4*02	30	52	0.0030902348578491965	0.0031197504199664025
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-39*07|IGHJ5*02	IGHV4-39*07	IGHJ5*02	83	153	0.008549649773382777	0.0091792656587473
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-39*01|IGHJ5*02	IGHV4-39*01	IGHJ5*02	56	118	0.0057684384013185	0.007079433645308376
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-39*07|IGHJ4*02	IGHV4-39*07	IGHJ4*02	209	333	0.021528636176349404	0.01997840172786177
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-39*01|IGHJ4*02	IGHV4-39*01	IGHJ4*02	151	260	0.015554182117840955	0.015598752099832013
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-48*01|IGHJ4*02	IGHV3-48*01	IGHJ4*02	142	217	0.014627111660486197	0.013018958483321335
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-48*04|IGHJ4*02	IGHV3-48*04	IGHJ4*02	119	188	0.012257931602801813	0.011279097672186225
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-21*04|IGHJ4*02	IGHV3-21*04	IGHJ4*02	30	32	0.0030902348578491965	0.001919846412287017
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-48*02|IGHJ4*02	IGHV3-48*02	IGHJ4*02	6	6	0.0006180469715698393	0.0003599712023038157
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-61*02|IGHJ4*02	IGHV4-61*02	IGHJ4*02	118	184	0.012154923774206839	0.011039116870650349
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-61*01|IGHJ4*02	IGHV4-61*01	IGHJ4*02	17	17	0.0017511330861145447	0.0010199184065274778
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-61*02|IGHJ5*02	IGHV4-61*02	IGHJ5*02	56	81	0.0057684384013185	0.004859611231101512
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-61*08|IGHJ4*02	IGHV4-61*08	IGHJ4*02	13	13	0.0013391017717346518	0.0007799376049916006
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-30*03|IGHJ4*02	IGHV3-30*03	IGHJ4*02	18	18	0.001854140914709518	0.0010799136069114472
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-30-3*01|IGHJ4*02	IGHV3-30-3*01	IGHJ4*02	36	56	0.003708281829419036	0.00335973122150228
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-30*18|IGHJ4*02	IGHV3-30*18	IGHJ4*02	250	463	0.025751957148743305	0.027777777777777776
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-33*01|IGHJ4*02	IGHV3-33*01	IGHJ4*02	92	158	0.009476720230737536	0.009479241660667147
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-33*05|IGHJ4*02	IGHV3-33*05	IGHJ4*02	20	47	0.0020601565718994645	0.0028197744180465563
